#b 	 momk 	 non Elliptic 	 Smat 	 Smat Fderiv 	 Smat Sderiv 
1.32583	0.333333	1.53013	24.6458	10.481	-6.77753
1.37002	0.333333	2.62738	25.1052	10.3758	2.01364
1.41421	0.333333	1.65456	25.5632	10.297	-5.57864
1.45841	0.333333	2.35015	26.0147	10.1741	0.0178093
1.5026	0.333333	2.2268	26.464	10.1538	-0.937157
1.5468	0.333333	2.23131	26.9119	10.1136	-0.881528
1.59099	0.333333	2.20705	27.3579	10.0706	-1.06266
1.63518	0.333333	1.73977	27.8007	9.94331	-4.70008
1.67938	0.333333	2.20007	28.2368	9.8168	-1.02409
1.72357	0.333333	1.68784	28.6683	9.68298	-5.03276
1.76777	0.333333	1.72854	29.0915	9.46925	-4.63816
1.81196	0.333333	1.35949	29.5045	9.202	-7.45748
1.85616	0.333333	1.56318	29.9045	8.91014	-5.74886
1.90035	0.333333	1.42564	30.2923	8.63397	-6.75022
1.94454	0.333333	1.55422	30.6676	8.35982	-5.65753
1.98874	0.333333	1.28011	31.0309	8.06376	-7.73885
2.03293	0.333333	1.31388	31.3798	7.72982	-7.37488
2.07713	0.333333	1.16331	31.7139	7.37981	-8.46282
2.12132	0.333333	1.24747	32.032	7.02275	-7.69738
2.16551	0.333333	1.11034	32.3345	6.66089	-8.67991
2.20971	0.333333	1.20164	32.6207	6.29538	-7.85928
2.2539	0.333333	1.06486	32.8909	5.92641	-8.83978
2.2981	0.333333	1.16409	33.1445	5.5552	-7.95692
2.34229	0.333333	1.068	33.382	5.18896	-8.61917
2.38649	0.333333	1.16006	33.6032	4.82615	-7.79755
2.43068	0.333333	1.08852	33.8087	4.47111	-8.27089
2.47487	0.333333	1.15368	33.9984	4.119	-7.66565
2.51907	0.333333	1.15389	34.173	3.7821	-7.57864
2.56326	0.333333	1.17004	34.3328	3.45186	-7.36743
2.60746	0.333333	1.20827	34.4783	3.13466	-6.98578
2.65165	0.333333	1.19849	34.61	2.82597	-6.98507
2.69584	0.333333	1.28274	34.7283	2.53362	-6.24651
2.74004	0.333333	1.20175	34.834	2.24502	-6.81251
2.78423	0.333333	1.36593	34.927	1.97414	-5.44724
2.82843	0.333333	1.22667	35.0086	1.71057	-6.47874
2.87262	0.333333	1.42679	35.0784	1.46063	-4.83336
2.91682	0.333333	1.20879	35.1377	1.21044	-6.48749
